SPOT	Gene Symbol	15m	30m	60m	90m	120m
1922	YFR039C	-1.143175	-1.073875	-0.985375	-0.268375	-0.1935
1924	YFR041C	-0.93845	-1.0586	-1.42725	0.21735	0.63925
1930	YFR047C	-0.669	-1.0538	-1.5627	0.072925	0.29075
1931	YFR048W	1.6189	1.93615	1.1605	0.0825	0.2541
1932	YFR049W	-0.45055	-0.8838	-0.98765	0.989675	0.0881
1933	YFR050C	-0.06835	-0.32135	0.063675	0.438325	-1.228675
1936	YFR053C	0.334725	0.1461	-0.694775	2.6763	0.7293
1938	YFR055W	1.0815	1.43105	0.863675	-0.479275	-0.830425
1943	YGL003C	0.9194	1.25125	1.230566667	-0.551025	-0.4968
1945	YGL005C	-0.92505	-1.233075	-1.188325	0.08965	-0.0034
1950	YGL010W	1.892925	0.778225	1.13945	-0.264725	-0.636075
1951	YGL011C	0.0447	-0.153175	0.35625	0.133425	-1.556325
1952	YGL012W	-0.5252	-0.887175	-1.6553	0.293725	1.069675
1958	YGL018C	-0.92225	-1.8797	-0.5258	0.016225	-0.491675
1965	YGL025C	-0.853625	-0.944925	-0.59165	-0.384775	-0.3232
1968	YGL028C	-0.006025	-0.5299	-1.85055	-0.53935	-0.584975
1969	YGL029W	2.500875	3.27655	3.888475	-0.856975	-0.36215
1973	YGL033W	1.9214	0.8786	0.706675	-0.35705	-0.346525
1975	YGL035C	1.950875	-0.403325	-1.728225	0.00075	-0.711375
1977	YGL037C	-1.340775	-2.168125	-3.578625	4.818775	3.388225
1979	YGL039W	0.230425	0.5046	1.180575	-1.406475	-2.645275
1983	YGL043W	-0.4589	-0.732	-0.48865	-0.31775	-0.30905
1984	YGL044C	2.036925	2.30465	1.974375	0.101425	-0.130025
1986	YGL047W	-1.01055	-1.4496	-2.082675	1.339475	-0.442225
1990	YGL051W	-0.4899	-0.946925	-0.809325	0.4147	0.280275
1994	YGL055W	4.74735	6.676225	6.450425	-12.07765	-11.803475
1995	YGL056C	3.649475	2.4838	1.597	-0.7723	-0.3189
1997	YGL058W	0.849975	0.552675	0.968	-0.385925	-0.2219
2000	YGL061C	-1.664175	-1.864725	-2.2336	0.34105	0.629575
2001	YGL062W	-0.06725	-0.02355	0.0877	1.10535	1.3459
2003	YGL064C	1.2732	1.0038	0.555475	-0.771175	0.146475
2009	YGL070C	0.592225	1.03655	1.038925	-0.242075	0.2152
2012	YGL073W	-1.00585	-0.483375	-0.945125	-0.313725	0.09015
2015	YGL076C	-0.682725	-1.01475	-1.370975	-0.811875	-0.55025
2016	YGL077C	0.785625	2.549225	4.6912	-0.46815	0.26555
2017	YGL078C	1.3193	2.330575	2.2481	-1.1167	-0.174175
2020	YGL081W	1.2612	0.861766667	0.45185	0.15	0.202875
2026	YGL087C	-0.675125	-1.45015	-1.298325	0.310825	0.61895
2029	YGL090W	-0.097925	0.822075	0.08855	0.62185	-0.318925
2038	YGL099W	1.129475	0.687925	2.412625	-0.514825	-0.810425
2046	YGL107C	1.57805	1.2766	1.387275	-0.098025	-0.149025
2047	YGL108C	-1.647225	-1.384175	-1.685225	-0.412975	-0.074175
2048	YGL109W	-1.5046	-0.753125	-1.333	0.0037	-0.439425
2050	YGL111W	1.239425	1.16945	1.4803	-1.62335	-1.29935
2059	YGL120C	2.102675	3.10555	2.648075	-1.26005	0.102775
2061	YGL122C	1.478725	1.7269	2.0242	-0.31525	-0.849525
2072	YGL133W	-0.844225	-0.948875	-0.50525	0.451175	0.758
2073	YGL134W	-0.582825	-0.9576	-0.87605	0.3085	-0.390775
